    153441
    0.3150 VVF   -0.977 0.5      0.000 1.5 31743610.00  18.17() 1s     () 3p    
    0.3151 VVF   -1.279 0.5      0.000 0.5 31732100.00  18.17() 1s     () 3p    
    0.3177 VVF   -0.107 0.0      0.000 1.0 31473810.00  20.181s2       1s 2p    
    0.3200 VVF   -1.242 0.0      0.000 1.0 31254280.00  18.161s2       1s 4p    
    0.3365 VVF   -0.810 0.0      0.000 1.0 29713740.00  18.161s2       1s 3p    
    0.3584 VVF   -2.971 0.5      0.000 0.5 27901180.00  16.15() 1s     ()10p    
    0.3584 VVF   -2.670 0.5      0.000 1.5 27901180.00  16.15() 1s     ()10p    
    0.3593 VVF   -2.529 0.5      0.000 1.5 27835160.00  16.15() 1s     () 9p    
    0.3593 VVF   -2.831 0.5      0.000 0.5 27835160.00  16.15() 1s     () 9p    
    0.3604 VVF   -2.373 0.5      0.000 1.5 27742840.00  16.15() 1s     () 8p    
    0.3604 VVF   -2.674 0.5      0.000 0.5 27742840.00  16.15() 1s     () 8p    
    0.3622 VVF   -2.192 0.5      0.000 1.5 27608150.00  16.15() 1s     () 7p    
    0.3622 VVF   -2.495 0.5      0.000 0.5 27608150.00  16.15() 1s     () 7p    
    0.3650 VVF   -1.983 0.5      0.000 1.5 27400560.00  16.15() 1s     () 6p    
    0.3650 VVF   -2.284 0.5      0.000 0.5 27400560.00  16.15() 1s     () 6p    
    0.3696 VVF   -1.730 0.5      0.000 1.5 27057700.00  16.15() 1s     () 5p    
    0.3696 VVF   -2.032 0.5      0.000 0.5 27056150.00  16.15() 1s     () 5p    
    0.3731 VVF   -0.256 0.5      0.000 1.5 26801620.00  18.17() 1s     () 2p    
    0.3736 VVF   -0.556 0.5      0.000 0.5 26762780.00  18.17() 1s     () 2p    
    0.3784 VVF   -1.413 0.5      0.000 1.5 26424820.00  16.15() 1s     () 4p    
    0.3785 VVF   -1.714 0.5      0.000 0.5 26421800.00  16.15() 1s     () 4p    
    0.3883 VVF   -2.495 0.0      0.000 1.0 25754601.00  16.141s2       1s10p    
    0.3892 VVF   -2.356 0.0      0.000 1.0 25696685.00  16.141s2       1s 9p    
    0.3904 VVF   -2.198 0.0      0.000 1.0 25615718.00  16.141s2       1s 8p    
    0.3922 VVF   -2.019 0.0      0.000 1.0 25497627.00  16.141s2       1s 7p    
    0.3949 VVF   -0.111 0.0      0.000 1.0 25323950.00  18.161s2       1s 2p    
    0.3950 VVF   -1.812 0.0      0.000 1.0 25315693.00  16.141s2       1s 6p    
    0.3991 VVF   -0.977 0.5      0.000 1.5 25057550.00  16.15() 1s     () 3p    
    0.3992 VVF   -1.279 0.5      0.000 0.5 25050380.00  16.15() 1s     () 3p    
    0.3998 VVF   -1.559 0.0      0.000 1.0 25014007.00  16.141s2       1s 5p    
    0.4088 VVF   -1.243 0.0      0.000 1.0 24458842.00  16.141s2       1s 4p    
    0.4299 VVF   -0.815 0.0      0.000 1.0 23260416.00  16.141s2       1s 3p    
    0.4685 VVF   -2.670 0.5      0.000 1.5 21345425.00  14.13() 1s     ()10p    
    0.4685 VVF   -2.971 0.5      0.000 0.5 21345312.00  14.13() 1s     ()10p    
    0.4696 VVF   -2.529 0.5      0.000 1.5 21294941.00  14.13() 1s     () 9p    
    0.4696 VVF   -2.831 0.5      0.000 0.5 21294786.00  14.13() 1s     () 9p    
    0.4712 VVF   -2.674 0.5      0.000 0.5 21224138.00  14.13() 1s     () 8p    
    0.4712 VVF   -2.373 0.5      0.000 1.5 21224359.00  14.13() 1s     () 8p    
    0.4727 VVF   -0.256 0.5      0.000 1.5 21153430.00  16.15() 1s     () 2p    
    0.4733 VVF   -0.556 0.5      0.000 0.5 21129240.00  16.15() 1s     () 2p    
    0.4734 VVF   -2.192 0.5      0.000 1.5 21121403.00  14.13() 1s     () 7p    
    0.4735 VVF   -2.495 0.5      0.000 0.5 21121074.00  14.13() 1s     () 7p    
    0.4770 VVF   -1.983 0.5      0.000 1.5 20962765.00  14.13() 1s     () 6p    
    0.4771 VVF   -2.284 0.5      0.000 0.5 20962241.00  14.13() 1s     () 6p    
    0.4831 VVF   -1.730 0.5      0.000 1.5 20699649.00  14.13() 1s     () 5p    
    0.4831 VVF   -2.032 0.5      0.000 0.5 20698744.00  14.13() 1s     () 5p    
    0.4947 VVF   -1.413 0.5      0.000 1.5 20215250.00  14.13() 1s     () 4p    
    0.4947 VVF   -1.714 0.5      0.000 0.5 20213481.00  14.13() 1s     () 4p    
    0.5039 VVF   -0.115 0.0      0.000 1.0 19846285.00  16.141s2       1s 2p    
    0.5135 VVF   -2.495 0.0      0.000 1.0 19475387.00  14.121s2       1s10p    
    0.5146 VVF   -2.356 0.0      0.000 1.0 19431902.00  14.121s2       1s 9p    
    0.5162 VVF   -2.199 0.0      0.000 1.0 19371113.00  14.121s2       1s 8p    
    0.5186 VVF   -2.020 0.0      0.000 1.0 19282456.00  14.121s2       1s 7p    
    0.5217 VVF   -0.977 0.5      0.000 1.5 19168737.00  14.13() 1s     () 3p    
    0.5218 VVF   -1.279 0.5      0.000 0.5 19164543.00  14.13() 1s     () 3p    
    0.5223 VVF   -1.812 0.0      0.000 1.0 19145877.00  14.121s2       1s 6p    
    0.5286 VVF   -1.561 0.0      0.000 1.0 18919421.00  14.121s2       1s 5p    
    0.5405 VVF   -1.246 0.0      0.000 1.0 18502736.00  14.121s2       1s 4p    
    0.5435 VVF   -2.971 0.5      0.000 0.5 18398516.00  13.12() 1s     ()10p    
    0.5435 VVF   -2.670 0.5      0.000 1.5 18398600.00  13.12() 1s     ()10p    
    0.5448 VVF   -2.831 0.5      0.000 0.5 18354959.00  13.12() 1s     () 9p    
    0.5448 VVF   -2.529 0.5      0.000 1.5 18355074.00  13.12() 1s     () 9p    
    0.5466 VVF   -2.373 0.5      0.000 1.5 18294221.00  13.12() 1s     () 8p    
    0.5466 VVF   -2.674 0.5      0.000 0.5 18294057.00  13.12() 1s     () 8p    
    0.5493 VVF   -2.495 0.5      0.000 0.5 18205213.00  13.12() 1s     () 7p    
    0.5493 VVF   -2.192 0.5      0.000 1.5 18205458.00  13.12() 1s     () 7p    
    0.5534 VVF   -1.983 0.5      0.000 1.5 18068688.00  13.12() 1s     () 6p    
    0.5535 VVF   -2.284 0.5      0.000 0.5 18068299.00  13.12() 1s     () 6p    
    0.5605 VVF   -1.730 0.5      0.000 1.5 17841847.00  13.12() 1s     () 5p    
    0.5605 VVF   -2.032 0.5      0.000 0.5 17841174.00  13.12() 1s     () 5p    
    0.5681 VVF   -0.818 0.0      0.000 1.0 17603422.00  14.121s2       1s 3p    
    0.5739 VVF   -1.413 0.5      0.000 1.5 17424232.00  13.12() 1s     () 4p    
    0.5740 VVF   -1.714 0.5      0.000 0.5 17422918.00  13.12() 1s     () 4p    
    0.6000 VVF   -2.495 0.0      0.000 1.0 16666564.00  13.111s2       1s10p    
    0.6013 VVF   -2.357 0.0      0.000 1.0 16629519.00  13.111s2       1s 9p    
    0.6032 VVF   -2.200 0.0      0.000 1.0 16577734.00  13.111s2       1s 8p    
    0.6053 VVF   -0.977 0.5      0.000 1.5 16521999.00  13.12() 1s     () 3p    
    0.6054 VVF   -1.279 0.5      0.000 0.5 16518883.00  13.12() 1s     () 3p    
    0.6060 VVF   -2.021 0.0      0.000 1.0 16502210.00  13.111s2       1s 7p    
    0.6103 VVF   -1.812 0.0      0.000 1.0 16385868.00  13.111s2       1s 6p    
    0.6176 VVF   -1.561 0.0      0.000 1.0 16192975.00  13.111s2       1s 5p    
    0.6180 VVF   -0.256 0.5      0.000 1.5 16180083.00  14.13() 1s     () 2p    
    0.6186 VVF   -0.556 0.5      0.000 0.5 16165930.00  14.13() 1s     () 2p    
    0.6314 VVF   -1.246 0.0      0.000 1.0 15838068.00  13.111s2       1s 4p    
    0.6381 VVF   -2.670 0.5      0.000 1.5 15671868.00  12.11() 1s     ()10p    
    0.6381 VVF   -2.971 0.5      0.000 0.5 15671807.00  12.11() 1s     ()10p    
    0.6396 VVF   -2.831 0.5      0.000 0.5 15634701.00  12.11() 1s     () 9p    
    0.6396 VVF   -2.529 0.5      0.000 1.5 15634785.00  12.11() 1s     () 9p    
    0.6417 VVF   -2.674 0.5      0.000 0.5 15582820.00  12.11() 1s     () 8p    
