,mass,windscalar,metallicity,hefrac,energy,ni56,csmvelo,csmrate,csmtime,progoptimize,csmoptimize,gridtag
0,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.001,12,0,1,FullCSM
1,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.004,12,0,1,FullCSM
2,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.007,12,0,1,FullCSM
3,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.01,12,0,1,FullCSM
4,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.013,12,0,1,FullCSM
5,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.016,12,0,1,FullCSM
6,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.019,12,0,1,FullCSM
7,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.022,12,0,1,FullCSM
8,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.025,12,0,1,FullCSM
9,11.0,1.7,0.0142,0.2703,2.0,0.04669,20,0.028,12,0,1,FullCSM
